"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/27/2022","AQS","240050009","4","37.1","ppb","35","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/28/2022","AQS","240050009","4","42.6","ppb","40","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/29/2022","AQS","240050009","4","8.6","ppb","8","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/30/2022","AQS","240050009","4","31.3","ppb","29","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/31/2022","AQS","240050009","4","39.8","ppb","37","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/01/2022","AQS","240050009","4","42","ppb","40","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/02/2022","AQS","240050009","4","34.2","ppb","32","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/03/2022","AQS","240050009","4","33.3","ppb","31","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/04/2022","AQS","240050009","4","18.8","ppb","17","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/05/2022","AQS","240050009","4","25.1","ppb","24","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
